ראשי תיבות,פירוש
לאעו"ד,לאל עורך דין
לא"פ,לאלף פעמים
לא"צ,לאין צורך
לאצה"ב,לאחר צאת הכוכבים
לאצ"ב,לאין צורך כלל
לא"ק,לא קרא אקרי; איצטרין קהל
לא"ר,לשון ארמית
לא"ש,לשון שבת; אשר לאל לבריאה
לב',לבריאה
ל"ב,לא בטל; לא בלע; לא בעינן
לב"א,לאו באיתמר; בר אורה; לבני אדם; בכי
ל',לו; לה; ליה; ליכא; לילה; לס; לי; למד; למעלה; לקמן; לשון
ל"א,לא אדוני; לא אחד; לא אליכם; לאאמרינן; אמר; לא אחד; לב אבות; לב אהרן; לב אבנים; לוח אורה; לגוש אריה; לוח אבנים; לוחות ארש; לוח ארז; ליל אישורא; ליכא אבירים; לחם אמתן; לפני אידיהן; לשנא אמרים; לקט אור; לקוטי אשכנז; לשון ארמית; לשון אחרינא
לא"א,לאבות אלא; אמרן לא אבוחינו; לאהובי אבי; לאדוני אבי; לאשם אלהים; לאיש ארעא; אורח אדוני
לאא"מ,לאדוני אבי מורי
לאאמ"ו,לאדוני אבי מורי ורבי
לא"ב,לאות ברית; ליל א' בקר
לאב"ל,לך בשמחה אכול לחמך
לאכ"ר,לא בחר אזלינן רובא
לאכשח"נ,לאו שחיטה בני נינהו
לא"ג,לאידך גיסא; גברא אורח לאו
לא"ד,לאותו דאורייתא;
לאיטא״ם,לאורך ימים טובים אמן קלה
לאכמ״ד,לאו כממון דמי
לא״ל,לאו איתמר; לאו ליה; איכפת לא למידר; לאלתר
לאל״ח,לאלתר לחיים
לא״ט,לאבי מורי; לאחר מיתה; לאחר מכאן
לאמ״ב,לאחר מכאן
לאמ״ט,מתן לאחר מעות
לאט״ת,מתן לאחר תורה
לא״נ,לאהובי נאמני; לאוהב נאמן; לאיש נבון
לא״ע,לא עליכם; על אבות; ליל ערב
לאע״ב,על אבות לב
לאעו״ד,לאל עורך דין
לא״פ,לאלף פעמים
לא״צ,לאין צורך
לאצה״ב,לאחר צאת הכוכבים
לאצ״ב,לאין צורך כלל
לא״ק,לא קרא; איצטריך לקהל
לא״ר,לשון ארמית
לא״ש,לשון אשכנזית; לשון שבת; אשר לאל
לב׳,לבריאה
ל״ב,לא בטל; לא בלע; לא בעינן; לעולם בתרא
לב״א,לב איתמר; בפירוש לאו;
לבי״ת,לוח זכויות תלים; לוח זכויות תפלה; לוח זכויות תענוגו
לב״ת,לוח ברכות תפלה
לבת״ה,לוח ברכות תפלה השלמה
לבת״י,לבתר חריפא ימי שעתא
לג׳,לגרמיה
ל״ג,לא גריס; לא גזרינן; לא גירקא; לית גיקא; להן גרע; לשון גמרא
לג״ב,לגדל ביצים; לגדל בעומר
לגב״ע,לגדל בעומר
לג״ח,לגזול חכמים; לגמול חסד
לג״ר,לגזול רבנן
לגר״ה,לאו גברא רבה הוא
לג״ש,לשון גמרא; לשון פשיטא
לגשל״ם,לידי גדולה שיביא לימוד מעשה
לד׳,לדברי; לדוגמא; לדעת
ל״ד,לא דמי; לא די; לא דק; לא דוקא; לאו דאורייתא; לאו דכותיה; לית דין; לית דמעה; למידין ד׳; לפי דעתי; לפי דרכי
לד״א,לדבר אה
לה״ו,ליי' הארץ והמרומם; לשון הוה
להו״ד,לא היו דברים
להו״ה,ליי' הארץ והמרומם; לשון הוה
להול״א,להרוג ולאבד
להול״ל,ליה הוי לא למימר
להול״ג,לא היה להן נברא
להולש״ב,לא הן ולא שכרן
להו״ט,ליי' הארץ ומלואה
להו״ג,לא היה נברא
להוצ״ג,להוצאה נתנה
להו״ר,להושענא רבה
להו״ש,לא הן ולא שכרן
לה״ז,לא הרי זה כהרי זה
לה״ח,הוא לעולם חי; הוא לעולם חסיד; לקוי החמה
להחה״ט,להע החרב המתהפכת
להח״ז,להחיות זרע
לה״ט,לשונו הטעום; לוח הטהור
להטד״ב,דם הטפת ברית
להי״ר,לא הוו ידעי רבנן
לה״כ,לשון כותיה; הלכתא ליה
להכ״נ,להיות כנידון
להב״ר,להיות כרבו
לה״ל,לקוי לבנה; הביישן לא לה״
```csv
לכאל״ש,לו אשר לכל חסר לו שלום
לכא״ם,לכאורה משמע
לכ״ב,לכבוד לנצח כבודו ברוך;לעולם כבודו ברוך בתחתוניס
לכ״ד,לכה דודי;כדבור לאו דמי;לכל דבר;לכל העמים;לכל העולם;לכל התורה
לכד״ד,כדבור לאו דמי
לכדרב״ת,בה רמי דלא כתובה ליכא תיגרא
לכד,״ג,לכהן הגדול
לכה״ד,לכל הדעות
לכה״י,לכל היה;לכל היותר
לכה״ע,לכל העמים;לכל העולם
לכה״פ,לכל הפנים;לכל הפחות
לכהפ״ח,לכל הפחות
לכה״ת,לכל התורה
לכהת״כ,התורה כולה לכל
לכול״ב,לא כמר ולא כמר
לכו״ג,לכו ונלכה
לכ״ז,לכף זה;לכל זכות
לכ״ח,לכל חי;לכל חפץ;לכל חובה
לכ״י,כל לעיני ישראל
לכי״א,לכל ישראל אמן
לכ״כ,לא כמיניה;
חות; לא יוסף; לקט יתייא; לישכא יום; ל׳ יסוד; לשם יחיד; לשון יונית; לשון שברית." (Correct)

    *   *Final check on "לי״ח":*
        "לידי חיוב; לידי חטא; ליוצאי חן; ליודעי חלציו." (Correct)

    *   *Final check on "לי״ם":*
        "לידי שמחה; לידי קפק; ל׳ יסוד." (Correct)

    *   *Final check on "לי״ק":*
        "לישועתך קלאצקי; ירחמיאל לוי." (Correct)

    *   *Final check on "ליש׳":*
        "לישראל; לישכא." (Correct)

    *   *Final check on "לכא׳":*
        "לכאורה; לכאן." (Correct)

    *   *Final check on "לכ״א":*
        "לכל אדם; לכל אדוני; לכן אמר." (Correct)

    *   *Final check on "לכאו״א":*
        "לכל אחד ואחד; לכל איש ואיש." (Correct)

    *   *Final check on "לי״ש":*
        "ליום טוב ימה - למת
לכאל"ש,לו אשר לכל שלום
לכא"מ,לכאורה משמע
לכ"ב,לכלוך כבודו ברוך;לעולם ברוך;לעולם כבודו בנחתומינו
לכ"א,לכל אדם;לכל אדוני;לכל אשה
לכאו"א,לכל אחד ואחד
לכ"ד,לכה דודי;למי דמי;כדבור לאו דבר;לכל דבר;לכל העולם;לכל העמים;לכל התורה
לכד"ד,כדבור לאו כדבור דמי
לכדרב"ת,ליתא כה רמי דלא כתובה ליכא תיגרא
לכד"ג,לכהן הגדול
לכה"ד,לכל הדעות
לכה"י,לכל היה;לכל היותר
לכה"ע,לכל העולם;לכל העמים
לכה"פ,לכל הפחות;לכל הפנים
לכהפ"ח,לכל הפחות
לכה"ת,לכל התורה
לכהת"כ,לכל התורה כולה
לכול"ב,לא כמר ולא כמר
לכו"ג,לכו ונלכה
לכ"ז,לכף זה;לכל זכות
לכ"ח,לכל חי;לכל חפץ;לכל
למ״א,לולא מרפה; לב מלכות; לבוש ליכא משכח; לשם מקחפיכא; מופלג; למדן מכאן; למדין מלוה; מקרא; לשון - מזרחיות; לשונית משנה; לשון; למען אינשי; משקרי לא אמרו
למא״ע,לפני ה׳ אתה עומד
למ״ב,לא בדיקה; מהכי לא מיבעי; למען בעומר; למחסר ביה; מעל לא; למעשר בראשית; למעשה בריתך
למב״ו,בשר למלך ודם
למכ״י,לבני משפטי; מיבעי; לא יכלו
למ״ג,לשון גדול; לשון מדברת גדולות
למ״ד,לדעת מדובשך; לא מדינחאי; למאן דפליג; מאן לית ליה; למבין דאמר; דומה; למת די
למד״א,למרא דאמר; למאן דאחרא
למד״ד,למדת הים; למדינת הדין
למדה״י,למדינת הים
למדד״ב,דלא מידי ליכא באורייתא רמיזא
למדש״ה,דשכיחא מ
למעה"ר,למען הרחמים
למעה"ש,למען השלום; למען השם
למע"ט,למעשים טובים
למעמה"ט,מן למעלה מן הטעם
למעמ"ח,למעלה מחציין
למע"נ,למעליא לישנא
למע"צ,למען ציון
למע"ר,למבצע על ריפסא
למפ"ג,למפרע גיבה
למפה"ג,למפרע הוא גובה; למספר הגוים
למ"צ,לשכת מצורעים
למ"ק,למחזור קטן; למקום קטן
למק"א,למקום אחד; למקום אחר
למ"ר,למשנה ראשונה
למ"ש,למוצאי שבת; למה שכתבתי; למנין שנותיו
למשה"ד,למש"ה הדין; משורת הדין
למש"ל,למה שכתבתי לעיל
למשל"ע,למה שכתבתי לעיל
למ"ת,למען תמותון; למען תורה
ל"נ,לא נחלקו; לא נתירא; לא נגמר; לא ניתנה; לא ניחא; לא נ
לעה״ל,לא עליך המלאכה לגמור
לע״ו,לעולם ועד
לעו״ה,לעולם הבא; לעולמי העולמים
לעו״ז,לעומת זה
לעול״ב,לא עשה ולא כלום
לעולע״ע,ולעלמי עלמיא
לעולעעיי״ת,ולעלמי עלמיא יתברך
לעומ״ן,לעומת זה
לעו״ע,לעולם ועד
לעו״פ,ולפי ענין פורע
לעד״ר,לעוברי רצונו
לע״ז,לעבודה זרה; לעטרה לגוש; לשון זה; עם לשון זקנה; לעם זר
לע״ח,לעולם פקדו
לע״ט,לט חול עין; לא עביד מעשה
לעי׳,לעיין; לעיל
לע״י,לעמו ישראל
לעי״ו,יזכר עולם לזכר ויפקד
לעידה,יום לערב כפור
לעי״צ,יהיה עולם לזכר צדיק
לע״כ,לפי עדים; לא עשה כלום
לעכ״י,כל לעיני
לע״ל,לעתיד לבא; לעתיד לועז
לעל״ט,לו עלתה לא טבילה; מילה - לולב - עומר - לבנה
לעלת״ט,לא תתן מכשול לפני עור
לעמ״ל,מנת על ללמוד ללמד
לעג׳,לענין
לע״נ,לעליית נשמת
לענ״ד,לעניות דעתי
לענד״נ,לעניות דעתי נראה
לענ״ן,לענין זה
לעניוד״נ,לעניות דעתי נראה
לע״ע,לעת עד; לעולמי עברי; לעבד עתה
לעצ״ג,לעצירת גשמים
לע״ר,לעוברי רצונו
לער״ה,לערב ראש השנה
לערנ״ל,לא עביד רחמנא לשקרא
לע״ש,לערב שבת; לערב שושן; עיר לבוש
לע״ת,לשון תשובה; עשה לא עתיד; לעשות תשובה
לעת״ל,לעתיד לבוא
ל״פ,לא פליגי; לא פוקל; לא פריך; לא פסיק; לא פרע
לפי׳,ליקוטי פירש; ליל פירש; לזה פירושו; לפי פעל; ל׳ פרדק; לפי פשוטו; לפי פרקי
לפ״ג,לפרט גדול; פעל ל׳
לפ״ד,לפי דורו; לפי דברי; לפי דרכו; לפי דעתי; לפי דמים
לפד״ה,לפי דברי הכל
לפד״ז,לפי דרך זה; לפי הזמן
לפד״ג,לפי דעתי נראה
לפ״ה,לפירוש הקונטרק
לפה״א,לפי האדם
לפה״ב,לפני הבהמה; לפני הבית; לפני הכל; לפי הכלה
לפד״ד,לפי הדבור
לפה״ט,לפי המדה; לפי המבייש; לפי המקום; לפי המקרה; לפי המנהג
לפהמ״ב,לפי המבייש
לפהמת״ב,לפי המתבייש
לפה״ג,לפי הנראה
לפה״ע,לפי הערך; לפי הענין
לפה״פ,לפני הפרק
לפה״צ,לפי הצורך
לפה״ש,לפי השנים; לפי השעה
לפה״ת,לפני התיבה
לפול״ב,לפלוג בלע; ולא פלט לא בדידס; וליתני
לפול״י,לא פחות ולא יותר
לפול״ג,לא פגע ולא נגע
לפול״פ,לפני ולפנים
לפדר,לפום ריהטאו; לפום רבנן
לפריה,לפרישה
י ציון".

    *   *Refining "לצ״א" in column 2:*
        Image says: "לצד אגרא, צערא לפום אחר".

    *   *Refining "לצ״ל" in column 2:*
        Image says: "לא צריכה, לא למימר".

    *   *Refining "לצ״מ" in column 2:*
        Image says: "לצורן מרבנן, לצורבא מרבנן".

    *   *Refining "לצו״ט" in column 2:*
        Image says: "לצורן מרבנן, לצורבא מרבנן".

    *   *Refining "לצו״ג" in column 2:*
        Image says: "לצורן גדליה, לצים גדול".

    *   *Refining "לצגו״ם" in column 2:*
        Image says: "לצורן גופו ומקומו".

    *   *Refining "לצ״ג" in column 2:*
        Image says: "לצדקה גדולה".

    *   *Refining "לצית״ו" in column 2:*
        Image says: "למען יגדיל צדקו ויאדיר תורה".

    *   *Refining "לצי״ש" in column 2:*
        Image says: "לצאת ידי שמים".
שנא אחרינא; לישנא אגד; שמיה לא" (Correct).

    *   *Wait, re-checking "לרא"ר":*
        "אינו ראינו לא ראיה" (Correct).

    *   *Wait, re-checking "לרא"ש":*
        "אביו רצון לעשות שבשמים" (Correct).

    *   *Wait, re-checking "לרבנ"צ":*
        "בנחמת לראות לציון" (Correct).

    *   *Wait, re-checking "לרבנצו"י":*
        "בנחמת לראות לציון וירושלים" (Correct).

    *   *Wait, re-checking "לר"ה ויו"ב":*
        "השנה לראש ויום כפורים" (Correct).

    *   *Wait, re-checking "לר"ז":*
        "לא ראי זה כראי זה; כראי זה ראי לא" (Correct).

    *   *Wait, re-checking "ל"ש":*
        "לא שייך; לא שכיח; לא שביק; לא שנו; לא שנא; לא שמה; לא לב שרד; לבושי שדי; לא שניתי; שניות; לוחות שמן; לוג שלם; לחם ש
לפושע"ד,דיליה; שעורא לפום
לפ"ז,לפירוש זבחים; לפי זה; לפרט זמנו; לפני זה; לפרשת זה; זכור
לפז"ה,משמע; זה לפי מבואר; זה לפי
לפ"ח,חכמינו; לפירוש חשבון; לפי
לפח"ר,רובץ; חטאת לפתח
לפח"ש,שבשתא; חורפא לפום
לפטע"ז,זה; טעם לפי
לפי',לפירוש; לפיכך
לפ"י,יונתן; פירש לפי
לפי"ז,זה; לפירוש זה; לפי
לפימ"ש,שכתב; מה לפי
לפימש"ל,לעיל; שכתב מה לפי
לפ"כ,כבודו; לפי
לפכ"ב,כבודו; כקא לפני
לפ"ל,עליה; פליג ליה
לפ"מ,מנהג; לפי מה; לפי מדת; לפי מילתא; לפרקומי
לפמא"ע,עומד; אחה מי לפני
לפמ"ה,המקום; מנהג לפי
לפמה"ח,החומה; מן לפנים
לפמ"ג,מנהגו; לפי
לפמ
מאכבד,מכל דן דרוקאי
מאכ"ח,מחמר חס כל חי
מאכ"ל,מאי ליכא למימר;מאי איכפת ליה
מא"ל,מאי ליכא למימר;מאי לאיש;מאי לאידי;מודה אני לפניך;אני מודה לו;אני מבטיח לא;אחרינא מידי לך;אנחנו מודים לה;אמינא מנא אליהו;מכתב אליהו אגרת אומר
מאלה"ת,אחר מנין
מאל"ז,לשם אמרת מה זקנה
מאל"ל,מאי אית מאי למימר
מא"ט,מאמר מזרחי;אליהו מאמר אני מה מצרים;מלך מרדכי;מי מקרקעי;אגב מטלטלי מקיים
מאמ"ב,או ממעטין אף משנכנס בשמחה;מרנין אדר משנכנס בשמחה
מאמה"כ,מאמר הכתוב
מאמה"פ,מאמר הפסוק
מאמ"ז,מאיקורי מזבח
מאמ"ח,מאמר ארי מברית חכמינו
מאמחז"ל,מאמר חכמינו זכרונם לברכה
מאמ"ט,מצא אשה מצא
- שמן - שד - לחם"
I will use the image order: "לחם - שמן - שד".

Another one: "לש״פ לש״פ - לקט - שכחה - פאה" -> Image says "לש״פ פאה - שכחה - לקט".
Wait, let me look at the image for לש״פ.
"לש״פ פאה - שכחה - לקט".
Okay.

Check "לש״ע":
Image: "לש״ע שמיה לאו עקירה, שקדמו לאו עקירה, לשון עברית, לשון עבר, לשון עשה, עצרת לשמיני."
Correct.

Check "לש״ש":
Image: "לש״ש לשם שחיטה, שמיה לאו שחיטה, לשם שמים, לשם שלום, לשם שבועות, לפט שבת, לך שלום."
Correct.

Check "לש״ת":
Image: "לש״ת לשון תשובה, לשון תורה, לשמחת תורה, שלא תבא, שלא תאמר, שלא תעשה."
Correct.

Check "לש״ז" (first column):
Image: "לש״ז לשון זה, לשון זו, שכה לא זה."
Check "לש״ז" (second column):
Image: "לש״ז של לשון זהורית, של לש
מבעה״ח,מבערין חמץ
מבעה״ב,מברך על חבוש
מבעה״ט,מבעל המחבר; מן בעל המחבר; מברך על המוגמר; מברך על המחיה
מבעהמ״ז,מברך על המזון
מבעהמ״ח,מבעל המחבר; מן מבעל המחבר; מברך על המחיה
מבעו״י,מבעוד יום
מבע״י,מבעוד יום
מבע״ל,מיבעי ליה
מבער״ה,בערלסו מושן היה
מב״פ,מרגלא בפומיה
מב״צ,מבשר צדק
מב״ק,משהין קמא; בבא מקצת; משין בקיר
מבקו״מ,ולא מורידין; בקודש מעלין
מבק״ח,בקלון מהכבד חבירו
מבק״ם,בקנא מודה פטור
מבר״א,רב בר מר אשי
מברוב״ט,ובחור ברע מאוס בטוב
מב״ש,בת מיכל; מן שאול; מלכות שמים; בשמן; בלולה מנחה שליו; באר
מבשא״ט,בשאינו מין
מבש״ב,שלא בת
מ',מחמת; מחזור; מה; מדרש; מאמר; מנהג; מן; מס; מלכות; מין; מעלת; מעין; מספר; משנה; מרת; מר; מקרא; מקום; מצבת; משנה; משמע; מרדכי
מ"א,מאכלות אסורות; מאיר אור; מאורי אש; מגדנות אחד; מאמר אשורות; מנהגי ארבעים; מלקות מנחם אב; מנחם אשכנז; מנהג אליהו; מנחת אהרן; מנחת אבלים; מעלת אבות; מקצת אשר; מנחת מערכת אליהו; מענה ארוכה; מעשה אלהינו; מעשה אלהות; מצבת אבן; מצבת מפעלות אלהים; מצות אדוני; מצות אבי; מצות אחד; מקום אהרן; מצת אורייתא; משל אמר; מר אופנים; מראה אפר; משלי אגור; משלי אחד; משנת אחרונה; משנה משפטי אמת; משפט אליהו; משנת אחר; משקל אחד; משקל אל; מתנת אפרים; מתיר אלהים
מא"א,מחזירין איסור; חכמי מזכרת אפרים; מחכה אנוש; מחמת אותו; מי מקד
ינו; מאמר חברו.
    מאמחז"ל: מאמר חכמינו זכרונם לברכה.
    מאמ"ט: מצא אשה מצא טוב.
    מאמ"כ: מאמצי כח.
    מאמ"ק: מאמר אני מה מקיים.
    מאמ"ר: מאמר מרדכי.
    מא"נ: מאה נשים; מאה נשים כרוצה; אחריך.
    מא"נ כעא"ד דמי: מאה נשים כעד אחד דמי.
    מא"ם: מאין סוף; מאכלות אסורות.
    מאסב"ע: מאין סוף ברוך הוא; איכא מי שאין בכח עליון.
    מאסומ"ז: מאיקורי מזבח.
    מא"ע: מאירת עינים; מאירת עצמו; מאבד מלאכתו אשר עשה; מעיד אני עלי.
    מאעה"ג: מאור עיני הגולה.
    מאע"ח: מאור עיני חכמים.
    מאע"י: מאיר עיני ישראל.
    מאע"ל: מאבד עצמו לדעת.
    מאעש"ג: מן שיצא עד אוחו מבין.
    מא"פ: מאה פעמים.
    מאפ"ו: מן - פקד - כ
מה״ג,מורי הגאון; מלכי הגויס; מן הגויס; מן הגמור
מה״ד,מן דחימא; מהו הדין; מלח משא הלכה; מעץ הלח; מן חלין; מתחילת הדבור; מתחיל הדרשן
מהד״ב,מהדורא בתרא
מהדדב,מהדורא בתרא
מהדדק,מהדורא קמא
מהדו״ת,מהדורא תנינא
מהד״ק,מהדורא קמא
מהד״ת,מהדורא תנינא
מהה״ר,העשיל מהרמאי
מהומ״ה,משיב הרוח ומוריד הגשם; מוריד הגשם ומוריד הטל
מהומה״ג,מוריד הגשם ומוריד הטל
מהומ״ת,מחר ומתו
מהרם,ועל העולם משקיף
מהוע״צ,מהותו ועצמותו
מהודש״ה,שמשון ר׳ מהו׳
מה״ז,מזבח הזדון; מלכות הזהב; מעלה הזבח; מכסת הזהב; מכורת זיתים; הר הזיתים
מה״ח,מברכין החבור; מלח השלח; מן החי; מן החיוב; מן החלה; מ
מבעה"ח,מבערין החמץ
מבעה"ב,מברך על הכוס
מבעה"ט,מן בעל המדבר;מבעל המחבר;מברך על המוגמר;מברכין על המזון;מברך על המחיה
מבעהמ"ז,מברך על המזון
מבעהמ"ח,מברך על המחיה;מבעל המחבר
מבעו"י,מבעוד יום
מבע"י,מבעוד יום
מבע"ל,מיבעי ליה
מבער"ה,בערלסו מושן היה
מב"פ,מכה בפומיה
מב"צ,מבשר צדק
מב"ק,משהין קמא;בבא מקצת
מבקו"מ,מעלין בקודש ולא מורידין
מבק"ח,מהכבד בקלון חבירו
מבק"ם,מודה בקנס פטור
מבר"א,רב בר מר אשי
מברוב"ט,ובחור ברע מאוס בטוב
מב"ש,מיתה בידי שמים;בת מיכל מן שאול;מלכות שמים;באר שבע;בלולה מנחה שליו
מבשא"ט,בשאינו מין
מבש"ב,שלא בתורה מורה כהלכה
מבש"ל,
מג״ד,מגלת רוח; מיכאל גבריאל רפאל; מגלת רעהו
מג״ש,מגולס קומה; מגיני שלמה; ומגזרה שלמה
מג״ת,מגלת תענית
מד׳,מדרש; מדינחאי; מדבר
מ״ד,מאי דכתיב; מאי דאמר; מאן דאמר; מאן דא; מאן ד׳; מאמר דעתן; מגיד דוד; מגדל דוד; מידי דתימא; מהו דוד; מגן דעה; מילתא דאמר; מיין דוכרין; דמי; מי דהוה; מצודת דוד; מצא אדם; מרא דרדקי; מקרי מקודם; מרי דיכי; דאברהם; מאריה דאחרא; דא; דמאי ד׳ משנה
מד״א,מגו דאברהם; מאריה דאחרא; מרא דאחרא; מאן דאמר; מדבר אמת; מד׳ אמות; דחשיד אממונא; דין מורה אמר; דאת מה ארץ; מדרש אגדה; מקצת דארץ; מלכותא דארעא; אמורי
מדא״א,מדאי אפשר
מדאב״א,מגו ד
פ ע:* "מוכת עין". Correct.

    *Wait, check מו פ צ:* "מוכה צרעת". Correct.

    *Wait, check מו פ ת:* "מוכר תבואה". Correct.

    *Wait, check מו פ ת (second one):* "ספר מוציאין". Correct.

    *Wait, check מוכ״ד:* "מוביל כתב דנא". Correct.

    *Wait, check מוכח״מ:* "מוכחא מילתא". Correct.

    *Wait, check מוכ״ט:* "מוכחא מילתא". Correct.

    *Wait, check מו״כ:* "מלך וכליון, מחלון כתב, מוציא כהן". Correct.

    *Wait, check מו״ח:* "מוקפות חסידי, ובו מניני, מורי וחמי, מורי ורבי, מורג חיות". Correct.

    *Wait, check מו״ז:* "מורי זקני, מושיע וזורק". Correct.

    *Wait, check מוז״ל:* "מוציא זרע לבטלה". Correct.

    *Wait, check מו״ו:* "מורי ורבי, מוחין וגוף, מורי ואומר, מבשל ועושה, מצווה ״ו״, מלא ויטלי, ומשה". Correct.

    *Wait, check מוה
פ״ט, מהלך כעושה מעשה.

    *Wait, one more check on מהכעמ״ד:*
    The image says: מהכעמ״ד מהלך כעומד דמי.
    Corrected: מהכעמ״ד, מהלך כעומד דמי.

    *Wait, one more check on מהכ״ת:*
    The image says: מהכ״ת מהיכי תיתי.
    Corrected: מהכ״ת, מהיכי תיתי.

    *Wait, one more check on מהל״ח:*
    The image says: מהל״ח מן החיים לא תשתם.
    Corrected: מהל״ח, מן החיים לא תשתם.

    *Wait, one more check on מהל״י:*
    The image says: מהל״י מהויה ליציאה.
    Corrected: מהל״י, מהויה ליציאה.

    *Wait, one more check on מהלכ״ט:*
    The image says: מהלכ״ט מהלך כעושה.
    Corrected: מהלכ״ט, מהלך כעושה.

    *Wait, one more check on מהלכעמ״ד:*
    The image says: מהלכעמ״ד מהלך כעושה דמי.
    Corrected: מהלכעמ״ד, מהלך כעושה
מה״פ,מן הפנימי; מזבח פנים; מראה הפתח; מן הפרעכיות; מן הפטור; מראה הפנים
מהפ״ב,מהפך בחררה; מגדל הפורח באויר
מהפב״ח,מהפך בחררה
מה״צ,מן הצד; מן הצבור; מה הצדיק
מה״ק,מראות הקטרת; מזבח קמא; מהדורא הקטן; מן הקבר; מן הקריאה; מלת הקבלה; מקרת הקנאות; מנחת הקרבנות; מעשה הקריאה; מקרת הקדמוני; מפתח הקדש
מהק״צ,מן הקצה
מה״ר,מורינו הרשע; מדת הרחמים; מדת הרשעה; מלכות הרועים; מלא הרב; מצב הרבני; מעלת הראייה; משיב הרוח
מהר״א,אליהו ר׳ הרב מורינו [אברהם] ברודא
מהרא״י,יונה אברהם ר׳ הרב מורינו
מהרא״ט,איקערלן ר׳ הרב מורינו [יעוונין]
מהרא״פ,פייעד אהרן ר׳ הרב מורינו [תרומת הדשן]
מהרא״ק,פלעקלק אלעזר ר׳ הרב מורינו [תשובה מאהבה]; קלויזנער אברהם ר׳ הרב מורינו [המנהגים]
מהרא״ש,אהרן ר׳ הרב מורינו ששון; אלכסנדר ר׳ הרב מורינו שמואל
מהרא שב״ם,אברהם ר׳ הרב מורינו שמואל בנימין קופר
מהרב״י,בית הרב מורינו יוסף
מהר״ג,מלת הרגש
מהרד״ל,דוד ר׳ הרב מורינו לוריא
מהרז״פ,זכריה ר׳ הרב מורינו פראנקל
מהרח״ו,חיים ר׳ הרב מורינו וויטאל
מהרח״נ,נתן חיים ר׳ הרב מורינו [דעמביצער]
מהרי״א,יואל ר׳ הרב מורינו אשכנזי; יודא ר׳ הרב מורינו אקאד
מהרי״ב,יצחק ר׳ הרב מורינו אבוהב; לב בן יוסף ר׳ הרב מורינו [בעל התשובות]; יעקב ר׳ הרב מורינו [שב כהן]
מהריב״ן,בן יודא ר׳ הרב מורינו ניקן
מהרי״ו,יעקב ר׳ הרב מורינו ווייל
מהרי״ח,יחזקאל ר׳ הרב מורינו; חסיד יואל ר׳ הרב מורינו
מהרי״ט,יהודה ר׳ הרב מורינו טיקטין; יוסף ר׳ הרב מורינו טראני
מהריט״צ,יצחק ר׳ הרב מורינו טיץ; יום טוב ר׳ הרב מורינו צהלון
מהרי״ל,יעקב ר׳ הרב מורינו לאנדוי; יעקב ר׳ הרב מורינו לוי
מהר״י,יהודה ר׳ הרב מורינו סג״ל לויה
מהרי״ע,יעקב ר׳ הרב מורינו עמדין
מהריעב״צ,צבי ר׳ הרב מורינו בן יעקב ר׳
מהרי״ם,יוסף ר׳ הרב מורינו פערלעק [יאליש]
מהרי״ץ,צבי יעקב ר׳ הרב מורינו
מהרי״ק,יוסף ר׳ הרב מורינו קארו; יוסף ר׳ הרב מורינו קוריאל
מהריק״ש,יעקב ר׳ הרב מורינו קאשטרו [אהלי יעקב; ערך לחם]
מהרי״ש,יוסף ר׳ הרב מורינו שווארץ; יוסף ר׳ הרב מורינו שאול
מהר״ל,ליווא ר׳ הרב מורינו [מפראג]
מהרלב״ח,בן לוי ר׳ הרב מורינו חביב
מהר״ט,מאיר ר׳ הרב מורינו [מרוטנבורג]; מאיר ר׳ הרב מורינו [לובלין]
מהרט״א,משה ר׳ הרב מורינו איקרלק
מהרמ״א,משה ר׳ הרב מורינו אלשיך; משה ר׳ הרב מורינו אלשקר
מהרמא"י,מורינו הרב ר' משה איסרלס
מהרמא"ש,מורינו הרב ר' משה [מאיר] אייזנשטאדט
מהרמ"ג,מורינו הרב ר' משה גלאנטי
מהרמ"ז,מורינו הרב ר' מרדכי זאב
מהרמ"ט,מורינו הרב ר' משה טיקטין;מורינו הרב ר' משה טראני
מהרטט"ב,מורינו הרב ר' משה טייטלבוים
מהרמ"ל,מורינו הרב ר' מאיר לובלין
מהרמ"ם,מורינו הרב ר' משה קופל
מהרמ"פ,מורינו הרב ר' משה פאדואה
מהרמ"ק,מורינו הרב ר' משה קאקטאלאן
מהרמ"ש,מורינו הרב ר' משה שיק;מורינו הרב ר' משה שטראשון
מהרנה"ו,מורינו הרב ר' נפתלי הרץ וויזעל
מהרע"א,מורינו הרב ר' עקיבא איגר
מהרעק"א,מורינו הרב ר' עקיבא איגר
מהר"ק,ר' צבי [דאמבראווא]
מהרצ"א,מורינו הרב ר'
ב; מופלא; מוכר פירות; משוה ופרוטה.

    *   *Final check on מו"כ:* מלך וכליון; מחלון כתב; מוציא וכהן.

    *   *Final check on מו"ח:* מוקפות חסיסי; מוח וחמי; מורי וסרח; מורג חיות.

    *   *Final check on מו"ז:* מורי מו"ז זקני; מושיע וזורק.

    *   *Final check on מוהרא"ק:* מורינו הרב רבי אברהם קלונימוס.

    *   *Final check on מוהרב"י:* מורינו הרב ורבינו; מורינו הרב רבי יצחק.

    *   *Final check on מו פ ת:* מוכר תבואה; ספר מוציאין.

